[2026-06-16T05:16:26.379Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:26.435Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:26.483Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:26.557Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:26.592Z] check sc=0 len=6132 ZXAN=true
[2026-06-16T05:16:26.609Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:26.661Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:26.705Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:26.752Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:26.799Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:26.845Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:26.951Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.003Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:27.050Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.098Z] check sc=0 len=6606 ZXAN=true
[2026-06-16T05:16:27.098Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.151Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.195Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:27.242Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.291Z] DATA recv len=118 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.336Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.384Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.432Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.480Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.528Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.597Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.608Z] check sc=0 len=7253 ZXAN=true
[2026-06-16T05:16:27.640Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:27.688Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.734Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.782Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:27.830Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.001Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.054Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:28.102Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.118Z] check sc=0 len=7668 ZXAN=true
[2026-06-16T05:16:28.150Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.197Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.244Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.292Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.347Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.388Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:28.436Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.484Z] DATA recv len=118 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.532Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.601Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.628Z] check sc=0 len=8256 ZXAN=true
[2026-06-16T05:16:28.644Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:28.692Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.740Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:28.787Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
